,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14888,0.9,2.0,1.6,5.0,1125.0,1125.0,5.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.17
14889,0.99,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.58,4.9,4.75,4.83,4.75,4.83,4.42,0.8
14890,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.88,5.0,4.96,4.96,4.96,5.0,4.96,1.73
14891,0.96,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.68,4.72,4.8,4.76,4.8,4.76,4.76,3.34
14892,1.0,2.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,0.34
14893,0.9,2.0,1.0,1.0,365.0,365.0,1.0,365.0,4.8,4.9,4.8,4.9,4.9,4.9,4.8,0.08
14894,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.8,4.9,4.67,4.67,4.9,5.0,4.8,0.45
14895,0.9,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.83,5.0,5.0,4.83,4.67,4.83,4.83,0.45
14896,0.9,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.9,4.9,4.9,4.9,5.0,5.0,4.9,0.66
14897,1.0,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.8,4.9,4.8,4.9,4.9,4.55,4.8,0.75
14898,0.9,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14899,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.85,4.88,4.82,4.94,4.91,4.82,4.76,2.35
